AppID,testStage,hipaaCompliant,usBased,FullName_FirstParty,FullName_ThirdParty,Email_FirstParty,Email_ThirdParty,DOB_FirstParty,DOB_ThirdParty,DeviceID_FirstParty,DeviceID_ThirdParty,Gender_FirstParty,Gender_ThirdParty,Phone_FirstParty,Phone_ThirdParty,IPAddress_FirstParty,IPAddress_ThirdParty,Fingerprint_FirstParty,Fingerprint_ThirdParty,Location_FirstParty,Location_ThirdParty,MedicalInfo_FirstParty,MedicalInfo_ThirdParty
com.mm.ondoctor,3,0,0,set(),set(),set(),set(),{'.ondoctorapp'},set(),set(),{'android.apis.google'},{'.ondoctorapp'},set(),set(),{'www.googleapis'},set(),set(),set(),set(),set(),{'player.vimeo'},set(),set()
com.charm.phr.customBrandedApp025,1,1,1,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.lyflinkpatientapp,1,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'www.lyflink'},set(),set(),set(),set(),set(),{'www.lyflink'},set(),set(),set()
my.doctor2u.client,3,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
bd.com.cliniva.cliniva_patient,1,0,0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),{'www.googleapis'},set(),set(),set(),set(),set(),set(),set(),set()
com.healthcoco.android,3,0,0,set(),"{'webapi.healthcoco', 'lumberjack.razorpay'}",set(),{'webapi.healthcoco'},set(),set(),set(),"{'android.googleapis', 'android.apis.google'}",set(),{'webapi.healthcoco'},set(),"{'webapi.healthcoco', 'lumberjack.razorpay'}",set(),set(),set(),set(),set(),set(),set(),set()
com.syntagi.patients,1,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.getz.greenclinic,3,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.docplus,1,0,1,{'server.docplus'},set(),{'server.docplus'},set(),set(),set(),set(),{'android.apis.google'},{'server.docplus'},set(),{'server.docplus'},set(),set(),set(),set(),set(),set(),set(),set(),set()
com.a.Healwell24,1,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'.healwell24'},set(),set(),set(),set(),set(),set(),set(),set(),set()
com.developer.odoc,1,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'gen3api.odoc'},set(),set(),set(),set(),set(),set(),set(),set(),set()
com.telemed.ae,0,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.wayuhealth.patient,3,0,0,set(),{'wayumd.appspot'},set(),{'wayumd.appspot'},set(),{'wayumd.appspot'},set(),{'android.apis.google'},set(),{'wayumd.appspot'},set(),{'wayumd.appspot'},set(),set(),set(),set(),set(),set(),set(),set()
com.teleafya,2,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.advancemedical.onlinemedic,2,0,0,{'mobile-api2.teladoc'},set(),{'mobile-api2.teladoc'},set(),set(),set(),set(),{'android.apis.google'},{'mobile-api2.teladoc'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.tabeby.patient,0,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.muvierecktechnologies.yetlohealth,1,0,0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.hellodoctor.hellodoctor,3,0,0,set(),"{'user-service-pusuheofiq-uc.a.run', 'firestore.googleapis', 'api.stripe', 'www.googleapis'}",set(),"{'user-service-pusuheofiq-uc.a.run', 'firestore.googleapis', 'api.stripe', 'www.googleapis'}",set(),set(),set(),{'android.apis.google'},set(),{'firestore.googleapis'},set(),"{'user-service-pusuheofiq-uc.a.run', 'firestore.googleapis', 'api.stripe'}",set(),set(),set(),set(),set(),{'firebaselogging-pa.googleapis'},set(),set()
com.secondconsult,3,1,0,"{'api-prod.secondconsult', '.secondconsult'}",set(),{'api-prod.secondconsult'},set(),{'api-prod.secondconsult'},set(),set(),{'android.apis.google'},{'api-prod.secondconsult'},set(),{'api-prod.secondconsult'},{'api.onesignal'},set(),set(),set(),set(),{'api-prod.secondconsult'},set(),set(),set()
com.surgician.surgician,2,0,0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
in.curetap.bookappointment.doctor,1,0,0,{'www.curetap'},set(),{'www.curetap'},set(),{'www.curetap'},set(),set(),{'android.apis.google'},set(),set(),{'www.curetap'},set(),set(),set(),set(),set(),set(),set(),set(),set()
com.dokpam,3,0,0,{'cms.dokpam'},{'.159.203.59.183'},set(),set(),{'cms.dokpam'},{'.159.203.59.183'},set(),set(),{'cms.dokpam'},{'.159.203.59.183'},{'cms.dokpam'},{'.159.203.59.183'},set(),set(),set(),set(),{'cms.dokpam'},{'.159.203.59.183'},set(),set()
com.shifaam.patient,1,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'api.shifaam'},set(),set(),set(),set(),set(),{'api.shifaam'},set(),set(),set()
org.drgalen,0,0,1,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.mobu.drlivepatient,1,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),{'.doctorlivebd'},{'www.googleapis'},set(),set(),set(),set(),set(),set(),set(),set()
com.app.qikdoc,1,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.medishala.user,1,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.mentorclub.mentorhealth,3,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.onlineopd.app,2,0,0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
